id,block,model,method,trial_id,task_trial_id,luminance,pupilDiameter,pupil_lum_base,adj_pupil,total_time,target_source,creation_method,IPA,discomfort,seq,scaled_tepr,scaled_ipa,scaled_time,scaled_seq,scaled_discomfort
108,0,0,0,3,7.0,0.2243562489748001,4.866457939147949,3.8315773010253906,1.0348811149597168,37.0822,1,2,0.24284615695956613,2,0,1.9794886774344802,1.2615707252651818,-1.0767430692542326,-0.77705717797081,-0.20132792781161168
108,0,0,1,1,5.0,0.22551143169403076,4.359482765197754,3.82914662361145,0.5303362011909485,61.0043,2,3,0.09838936607731437,1,0,0.24231957014418398,-1.3422820885728721,-0.22421539105280583,-0.77705717797081,-0.5954769695836403
108,0,1,0,2,6.0,0.24223928153514862,4.650882720947266,3.771303176879883,0.8795796632766724,67.7005,1,2,0.14775675691649381,1,0,1.4447793248697585,-0.4524283214819288,0.014421511174523626,-0.77705717797081,-0.5954769695836403
108,0,1,1,3,7.0,0.256184846162796,4.437137126922607,3.7466788291931152,0.6904584169387817,96.4316,2,3,0.19707601429319727,1,0,0.7936270137377734,0.4365578335643164,1.0383306987112788,-0.77705717797081,-0.5954769695836403
108,0,2,0,0,4.0,0.22350488603115082,4.658904075622559,3.852900266647339,0.8060040473937988,88.0356,1,2,0.22723631781725884,1,1,1.1914554215390005,0.9802013045130138,0.7391169011692913,0.3906287435204613,-0.5954769695836403
108,0,2,1,2,6.0,0.20634740591049194,4.892882823944092,3.900495767593384,0.9923869967460632,65.4248,2,3,0.15289841887745037,2,0,1.8331796623442356,-0.3597491827368793,-0.06667911282098628,-0.77705717797081,-0.20132792781161168
108,0,3,0,1,5.0,0.19597695767879486,5.205173015594482,3.936819314956665,1.2683532238006592,97.341,1,2,0.10275422422615794,2,1,2.7833428514124967,-1.263604941562633,1.0707395871682441,0.3906287435204613,-0.20132792781161168
108,0,3,1,0,4.0,0.22378265857696533,4.837308406829834,3.8289482593536377,1.008360505104065,69.0327,2,3,0.1738850706625456,1,0,1.8881771154892713,0.018537998986562786,0.06189800249008292,-0.77705717797081,-0.5954769695836403
109,1,0,0,0,4.0,0.24427944421768188,3.273621082305908,2.8609535694122314,0.4126676917076111,29.7078,1,3,0.10634790654145973,0,0,-0.16281799837965533,-1.198828341227063,-1.3395494328313686,-0.77705717797081,-0.9896260113556687
109,1,0,1,1,5.0,0.24046878516674042,3.1067075729370117,2.864626407623291,0.2420806884765625,67.6885,2,2,0.14777946574767542,0,0,-0.7501561402006999,-0.45201899178818394,0.013993859248546497,-0.77705717797081,-0.9896260113556687
109,1,1,0,1,5.0,0.22736352682113647,3.1282427310943604,2.89433217048645,0.2339106947183609,41.9572,1,3,0.14307720923134154,0,0,-0.7782857682599509,-0.5367777891189685,-0.90300947432603,-0.77705717797081,-0.9896260113556687
109,1,1,1,3,7.0,0.2411663681268692,3.1910502910614014,2.8686747550964355,0.32237571477890015,94.1328,2,2,0.10625795606446033,0,0,-0.4736970275330636,-1.2004497105044125,0.956406844758263,-0.77705717797081,-0.9896260113556687
109,1,2,0,3,7.0,0.22572214901447296,3.212181568145752,2.898765802383423,0.3134157359600067,45.5113,1,3,0.15388640105873844,0,1,-0.504546606988522,-0.3419406728907364,-0.7763496651497583,0.3906287435204613,-0.9896260113556687
109,1,2,1,2,6.0,0.21885229647159576,3.3642096519470215,2.9084651470184326,0.4557444751262665,62.5584,2,2,0.09594350846221744,0,0,-0.014502842772679615,-1.3863689964601484,-0.1688309028727198,-0.77705717797081,-0.9896260113556687
109,1,3,0,2,6.0,0.2229730635881424,3.058166265487671,2.8960580825805664,0.16210836172103882,48.5321,1,3,0.1889954263106833,0,0,-1.025504184917072,0.2909041635136962,-0.6686954203171194,-0.77705717797081,-0.9896260113556687
109,1,3,1,0,4.0,0.22208966314792633,3.1156229972839355,2.895998239517212,0.21962511539459229,50.1868,2,2,0.09966949595142507,0,0,-0.8274716115887951,-1.319207577818315,-0.6097257834909252,-0.77705717797081,-0.9896260113556687
110,2,0,0,0,4.0,0.23430122435092926,3.434352397918701,2.82511830329895,0.6092342734336853,60.8377,2,2,0.1808752388375313,5,1,0.5139689119263793,0.1445367073925512,-0.23015262529178818,0.3906287435204613,0.981119197504474
110,2,0,1,2,6.0,0.2449798285961151,3.327956199645996,2.806455373764038,0.521500825881958,47.5109,1,3,0.1474022459890796,6,0,0.21189900575191678,-0.4588184279646087,-0.7050885992177718,-0.77705717797081,1.3752682392765025
110,2,1,0,1,5.0,0.23333394527435303,3.5409440994262695,2.8637166023254395,0.677227258682251,76.1525,2,2,0.1050835479883725,5,0,0.748071585965791,-1.221618571828544,0.31563101770440427,-0.77705717797081,0.981119197504474
110,2,1,1,0,4.0,0.26985815167427063,3.499812126159668,2.7942934036254883,0.7055187821388245,39.7813,1,3,0.12575895529520656,5,0,0.8454804770391877,-0.8489416131037042,-0.9805534598038301,-0.77705717797081,0.981119197504474
110,2,2,0,3,7.0,0.21515882015228271,3.716290235519409,2.850803852081299,0.8654860854148865,71.3101,2,2,0.14027547297382598,5,0,1.396254550554215,-0.587279456733269,0.14305921050843956,-0.77705717797081,0.981119197504474
110,2,2,1,1,5.0,0.2229788899421692,3.3459110260009766,2.838766098022461,0.5071447491645813,50.7543,1,3,0.179725020718301,5,0,0.16247043696696664,0.12380387324890345,-0.5895014111582575,-0.77705717797081,0.981119197504474
