id,block,model,method,trial_id,task_trial_id,luminance,pupilDiameter,pupil_lum_base,adj_pupil,total_time,target_id,IPA,seq,PointPlaced,Move,Draw,Erase,PointDeleted
108,0,A,unimanual,0.0,0.0,0.2593856453895569,5.1043806076049805,3.717137098312378,1.3872432708740234,62.7652,1,0.10700932708276159,2,0,0,4,0,0
108,0,B,bimanual,0.0,4.0,0.3208174705505371,4.189030170440674,3.5409843921661377,0.6480458974838257,95.2104,2,0.11556940520629665,2,17,3,0,0,0
108,0,B,unimanual,1.0,1.0,0.26331284642219543,4.835740089416504,3.714536428451538,1.1212035417556763,40.4416,1,0.09893643334157803,2,0,0,4,0,0
108,0,C,bimanual,1.0,5.0,0.23759804666042328,4.375924110412598,3.7836360931396484,0.5922877788543701,36.4409,2,0.16469264235620273,1,12,1,0,0,0
108,0,C,unimanual,3.0,3.0,0.26917141675949097,5.13735818862915,3.6850130558013916,1.4523454904556274,50.2476,1,0.13937226730804456,1,0,0,5,0,0
108,0,D,bimanual,3.0,7.0,0.24193572998046875,4.408750057220459,3.7729599475860596,0.6357899308204651,82.8572,2,0.04828410366597057,1,24,14,0,0,0
108,0,D,unimanual,2.0,2.0,0.20578986406326294,5.373013973236084,3.903066873550415,1.4699472188949585,47.5624,1,0.2734010246229169,2,0,0,1,0,0
109,1,A,bimanual,3.0,7.0,0.25284987688064575,3.3183846473693848,2.8398308753967285,0.4785538911819458,24.8317,1,0.20949779189327347,0,7,0,0,0,0
109,1,A,unimanual,2.0,2.0,0.2559684216976166,3.453598737716675,2.838101625442505,0.6154969334602356,32.8594,2,0.1250160176772649,0,0,0,2,0,0
109,1,B,bimanual,2.0,6.0,0.28503668308258057,3.2718658447265625,2.7900657653808594,0.4817998707294464,41.9074,1,0.17344721381829173,0,9,0,0,0,0
109,1,B,unimanual,0.0,0.0,0.2750941812992096,3.3870162963867188,2.8103702068328857,0.576646089553833,36.7729,2,0.11181992519247005,1,0,0,2,0,0
109,1,C,bimanual,0.0,4.0,0.23328696191310883,3.2239177227020264,2.875897169113159,0.3480207026004791,42.7586,1,0.1671925269717373,1,6,1,0,0,0
109,1,C,unimanual,1.0,1.0,0.25892648100852966,3.5370655059814453,2.8465564250946045,0.6905087828636169,26.454,2,0.2741582363009004,0,0,0,1,0,0
109,1,D,bimanual,1.0,5.0,0.2483350932598114,3.3086674213409424,2.8499157428741455,0.45875152945518494,20.3729,1,0.2053440796735029,0,6,0,0,0,0
109,1,D,unimanual,3.0,3.0,0.20852327346801758,3.402773380279541,2.9278151988983154,0.4749581515789032,22.2615,2,0.1914709275330407,0,0,0,1,0,0
110,2,A,bimanual,3.0,3.0,0.2897622883319855,3.6159396171569824,2.765720844268799,0.8502189517021179,72.0564,1,0.2107434184830408,0,8,17,0,0,0
110,2,A,unimanual,1.0,5.0,0.2854355573654175,3.6208953857421875,2.7708773612976074,0.8500179648399353,50.2118,2,0.18231429769493956,0,0,0,12,0,0
110,2,B,bimanual,2.0,2.0,0.2906225323677063,3.630002737045288,2.772921323776245,0.8570816516876221,108.7897,1,0.12987940697062778,0,6,13,0,0,0
110,2,B,unimanual,3.0,7.0,0.2984011769294739,3.521521806716919,2.766146183013916,0.7553759217262268,41.5499,2,0.14696876913655846,0,0,0,10,0,0
110,2,C,bimanual,0.0,0.0,0.27142244577407837,3.4423418045043945,2.790041923522949,0.6522998809814453,86.636,1,0.19830808210421205,1,7,17,0,0,0
110,2,C,unimanual,2.0,6.0,0.20886218547821045,3.6223180294036865,2.862535238265991,0.7597828507423401,36.381,2,0.25269257982277826,0,0,0,6,1,0
110,2,D,bimanual,1.0,1.0,0.23034538328647614,3.5825304985046387,2.833937644958496,0.7485929131507874,55.3785,1,0.2195277226925807,0,5,10,0,0,0
110,2,D,unimanual,0.0,4.0,0.22580842673778534,3.86023211479187,2.830475091934204,1.029757022857666,20.2167,2,0.2590445401182279,0,0,0,5,0,0
111,3,A,bimanual,1.0,1.0,0.24104464054107666,3.824050188064575,3.0772058963775635,0.7468442916870117,110.9123,2,0.14427880436154825,0,9,8,0,0,1
111,3,A,unimanual,0.0,4.0,0.2146151214838028,3.9941163063049316,3.0975139141082764,0.896602213382721,34.3194,1,0.32060343395423535,0,0,0,1,0,0
111,3,B,bimanual,3.0,3.0,0.2460775524377823,3.74354887008667,3.0773708820343018,0.6661780476570129,63.4422,2,0.20494840029890937,0,7,2,0,0,0
111,3,B,unimanual,1.0,5.0,0.2267409861087799,3.7603890895843506,3.0865731239318848,0.6738156080245972,41.7261,1,0.24079558862481637,0,0,0,1,0,0
111,3,C,bimanual,2.0,2.0,0.22241374850273132,3.8534417152404785,3.0960798263549805,0.757361888885498,55.8985,2,0.2326043275140502,0,8,0,0,0,1
111,3,C,unimanual,3.0,7.0,0.18317580223083496,3.8240509033203125,3.1304826736450195,0.6935681700706482,22.5612,1,0.2676575945611977,0,0,0,1,0,0
111,3,D,bimanual,0.0,0.0,0.22765463590621948,3.85085391998291,3.0907227993011475,0.7601312398910522,48.8918,2,0.12280310364377275,0,6,0,0,0,1
111,3,D,unimanual,2.0,6.0,0.19955384731292725,3.921828031539917,3.112942934036255,0.8088850378990173,17.1179,1,0.2922865577412095,0,0,0,1,0,0
112,0,A,bimanual,2.0,6.0,0.23552697896957397,3.2261781692504883,2.903153419494629,0.3230246901512146,63.9794,2,0.19003127598083852,3,10,2,0,0,0
112,0,A,unimanual,0.0,0.0,0.228825643658638,3.737572193145752,2.915630578994751,0.8219415545463562,69.8619,1,0.11593430003217177,3,0,0,2,0,0
112,0,B,bimanual,0.0,4.0,0.2463054656982422,3.136197566986084,2.8814234733581543,0.2547743022441864,60.6607,2,0.15037593984962405,4,11,0,0,0,0
112,0,B,unimanual,1.0,1.0,0.23100821673870087,3.5399913787841797,2.9096643924713135,0.630327045917511,70.3587,1,0.17276179891102478,0,0,0,1,0,0
112,0,C,bimanual,1.0,5.0,0.2014283686876297,3.136317491531372,2.9805593490600586,0.15575776994228363,48.2847,2,0.08424865991975315,4,10,2,0,0,0
112,0,C,unimanual,3.0,3.0,0.1823200136423111,3.5408551692962646,3.036029577255249,0.5048259496688843,31.3011,1,0.29577048210588586,2,0,0,1,0,0
112,0,D,bimanual,3.0,7.0,0.202401801943779,3.1519582271575928,2.9776084423065186,0.1743496209383011,70.9722,2,0.15649385477085742,4,9,6,0,0,0
