id,block,model,method,trial_id,task_trial_id,luminance,pupilDiameter,pupil_lum_base,adj_pupil,total_time,target_source,creation_method,IPA,discomfort,seq
109,1,C,4DoF,3.0,7.0,0.22572214901447296,3.212181568145752,2.898765802383423,0.3134157359600067,45.5113,1,bimanual,0.06595131473945932,0,1
109,1,C,6DoF,2.0,2.0,0.21885229647159576,3.3642096519470215,2.9084651470184326,0.4557444751262665,62.5584,2,unimanual,0.09594350846221744,0,0
109,1,D,4DoF,2.0,6.0,0.2229730635881424,3.058166265487671,2.8960580825805664,0.16210836172103882,48.5321,1,bimanual,0.1889954263106833,0,0
109,1,D,6DoF,0.0,0.0,0.22208966314792633,3.1156229972839355,2.895998239517212,0.21962511539459229,50.1868,2,unimanual,0.11960339514171009,0,0
110,2,A,4DoF,0.0,0.0,0.23430122435092926,3.434352397918701,2.82511830329895,0.6092342734336853,60.8377,2,unimanual,0.1808752388375313,5,1
110,2,A,6DoF,2.0,6.0,0.2449798285961151,3.327956199645996,2.806455373764038,0.521500825881958,47.5109,1,bimanual,0.12634478227635393,6,0
110,2,B,4DoF,1.0,1.0,0.23333394527435303,3.5409440994262695,2.8637166023254395,0.677227258682251,76.1525,2,unimanual,0.13135443498546562,5,0
110,2,B,6DoF,0.0,4.0,0.26985815167427063,3.499812126159668,2.7942934036254883,0.7055187821388245,39.7813,1,bimanual,0.2766697016494544,5,0
110,2,C,4DoF,3.0,3.0,0.21515882015228271,3.716290235519409,2.850803852081299,0.8654860854148865,71.3101,2,unimanual,0.12624792567644338,5,0
110,2,C,6DoF,1.0,5.0,0.2229788899421692,3.3459110260009766,2.838766098022461,0.5071447491645813,50.7543,1,bimanual,0.13978612722534522,5,0
110,2,D,4DoF,2.0,2.0,0.22288857400417328,3.4908463954925537,2.8352818489074707,0.6555644273757935,43.3452,2,unimanual,0.1384900887259835,5,0
110,2,D,6DoF,3.0,7.0,0.21786855161190033,3.4624667167663574,2.8418684005737305,0.6205980181694031,42.423,1,bimanual,0.2124199589793457,6,0
111,3,A,4DoF,3.0,7.0,0.23763875663280487,3.369537353515625,3.0752322673797607,0.2943052351474762,46.2118,2,bimanual,0.2417614298210526,0,0
111,3,A,6DoF,2.0,2.0,0.22607547044754028,3.6969101428985596,3.0837576389312744,0.6131526231765747,43.1012,1,unimanual,0.27855864471934055,2,0
111,3,B,4DoF,2.0,6.0,0.2793109714984894,3.46063232421875,3.059471607208252,0.40116047859191895,55.2735,2,bimanual,0.2533867858791164,0,0
111,3,B,6DoF,0.0,0.0,0.23421375453472137,3.795135974884033,3.085141897201538,0.7099944353103638,46.999199,1,unimanual,0.2554381722547315,4,1
111,3,C,4DoF,0.0,4.0,0.21674256026744843,3.689967632293701,3.0895698070526123,0.6003977656364441,45.7672,2,bimanual,0.22069744807540792,2,0
111,3,C,6DoF,1.0,1.0,0.2150219827890396,3.8383474349975586,3.1173770427703857,0.7209700345993042,53.8316,1,unimanual,0.29740550869353477,1,0
111,3,D,4DoF,1.0,5.0,0.23313355445861816,3.5700254440307617,3.076359987258911,0.49366557598114014,43.591,2,bimanual,0.22952573098207174,1,0
111,3,D,6DoF,3.0,3.0,0.2003871351480484,3.837322473526001,3.107332706451416,0.7299903035163879,46.0938,1,unimanual,0.26053087507978756,1,0
112,0,A,4DoF,3.0,3.0,0.22269326448440552,3.3350956439971924,2.9370672702789307,0.3980284631252289,57.5276,1,unimanual,0.22606493976238837,4,1
112,0,A,6DoF,1.0,5.0,0.21700270473957062,3.4303994178771973,2.954505681991577,0.47589364647865295,50.165,2,bimanual,0.23931794385999902,5,2
112,0,B,4DoF,2.0,2.0,0.2504063844680786,3.3240513801574707,2.892237663269043,0.4318135380744934,64.9574,1,unimanual,0.1077989457263108,5,1
112,0,B,6DoF,3.0,7.0,0.2419487088918686,3.4023373126983643,2.915769577026367,0.48656755685806274,86.0037,2,bimanual,0.1511974254567616,5,1
112,0,C,4DoF,0.0,0.0,0.20666652917861938,3.519294023513794,2.990865707397461,0.528428316116333,54.8857,1,unimanual,0.1699630047193061,4,3
112,0,C,6DoF,2.0,6.0,0.1587277054786682,3.9656355381011963,3.141868829727173,0.8237665891647339,62.7255,2,bimanual,0.11163775780347926,5,1
112,0,D,4DoF,1.0,1.0,0.21353359520435333,3.5394322872161865,2.9497883319854736,0.5896434783935547,37.4271,1,unimanual,0.21388029654503116,5,2
112,0,D,6DoF,0.0,4.0,0.1609230488538742,3.9805941581726074,3.1082448959350586,0.8723488450050354,75.9976,2,bimanual,0.21059642223003183,5,2
114,2,A,4DoF,0.0,0.0,0.23480241000652313,3.987703800201416,3.8288559913635254,0.15884818136692047,45.7111,2,unimanual,0.17509263494717672,1,0
114,2,A,6DoF,2.0,6.0,0.23376788198947906,3.8705692291259766,3.8312997817993164,0.03926897421479225,64.2913,1,bimanual,0.1711566768219628,0,0
114,2,B,4DoF,1.0,1.0,0.25332891941070557,4.081943035125732,3.8011159896850586,0.2808269262313843,55.4282,2,unimanual,0.16243346995792973,1,0
114,2,B,6DoF,0.0,4.0,0.2531780004501343,3.972012996673584,3.7985172271728516,0.17349554598331451,65.1808,1,bimanual,0.12277885379801037,0,0
114,2,C,4DoF,3.0,3.0,0.22346782684326172,4.0605597496032715,3.8502163887023926,0.21034295856952667,56.6625,2,unimanual,0.0882768361581921,0,0
114,2,C,6DoF,1.0,5.0,0.238202765583992,3.8977839946746826,3.8225977420806885,0.07518664747476578,42.878599,1,bimanual,0.11666542223549616,0,0
114,2,D,4DoF,2.0,2.0,0.2265012115240097,3.918142080307007,3.8442611694335938,0.07388059794902802,51.6867,2,unimanual,0.13548614363853845,0,0
114,2,D,6DoF,3.0,7.0,0.2149319350719452,4.245233058929443,3.8671209812164307,0.3781120479106903,36.827,1,bimanual,0.1358514762979929,0,0
116,0,A,4DoF,3.0,3.0,0.22731874883174896,3.6411051750183105,3.146599292755127,0.49450576305389404,56.1285,1,unimanual,0.2851739828646083,0,0
116,0,A,6DoF,1.0,5.0,0.23197832703590393,3.50482177734375,3.130420446395874,0.374401718378067,65.3236,2,bimanual,0.21438656675823883,0,0
116,0,B,4DoF,2.0,2.0,0.2590903341770172,3.5712597370147705,3.0882651805877686,0.4829946756362915,52.5762,1,unimanual,0.2663972249020514,0,0
116,0,B,6DoF,3.0,7.0,0.2544057071208954,3.3724186420440674,3.1011159420013428,0.2713027894496918,57.3157,2,bimanual,0.1570817697879396,0,0
116,0,C,4DoF,0.0,0.0,0.17748604714870453,4.152865886688232,3.2539498805999756,0.8989161849021912,128.7943,1,unimanual,0.17861150522128025,0,0
116,0,C,6DoF,2.0,6.0,0.20509830117225647,3.718489646911621,3.1916556358337402,0.5268340706825256,55.318,2,bimanual,0.2531810389103088,0,0
116,0,D,4DoF,1.0,1.0,0.2136879712343216,3.616974115371704,3.168503522872925,0.4484702944755554,45.4561,1,unimanual,0.3081419986120844,0,0
116,0,D,6DoF,0.0,4.0,0.22901701927185059,3.6894617080688477,3.1339480876922607,0.5555135607719421,50.8313,2,bimanual,0.23617584078599319,0,0
117,1,A,4DoF,0.0,4.0,0.23662184178829193,4.390965461730957,4.190004348754883,0.20096085965633392,49.8868,1,bimanual,0.2406512021530261,3,3
117,1,A,6DoF,1.0,1.0,0.24233666062355042,4.057290554046631,4.177315711975098,-0.1200249046087265,59.0388,2,unimanual,0.1863907631515628,2,2
117,1,B,4DoF,1.0,5.0,0.23913921415805817,4.310678958892822,4.187657833099365,0.12302107363939285,38.138,1,bimanual,0.20995226210440399,2,2
117,1,B,6DoF,3.0,3.0,0.2379119098186493,4.427196025848389,4.196881294250488,0.23031571507453918,114.8677,2,unimanual,0.10455019890675342,3,4
117,1,C,6DoF,2.0,2.0,0.21802350878715515,4.479143142700195,4.231109619140625,0.24803373217582703,95.3204,2,unimanual,0.14690466621685858,2,4
117,1,D,4DoF,2.0,6.0,0.21304941177368164,4.496549129486084,4.2451934814453125,0.2513553202152252,37.9264,1,bimanual,0.18467561727825077,1,1
117,1,D,6DoF,0.0,0.0,0.23706170916557312,4.261087417602539,4.185685634613037,0.07540194690227509,68.3243,2,unimanual,0.16134142191661877,1,1
118,2,A,4DoF,0.0,0.0,0.21851831674575806,4.518363952636719,4.124880313873291,0.3934841454029083,76.7299,2,unimanual,0.1694738488814726,1,1
