,id,block,model,method,IPA,creation_method
118,125,1,D,4DoF,0.14540484343533483,bimanual
119,125,1,D,6DoF,0.11317466245656922,unimanual
120,126,2,A,4DoF,0.15806938568591386,unimanual
121,126,2,A,6DoF,0.1763931949580599,bimanual
122,126,2,B,4DoF,0.18734777992880786,unimanual
123,126,2,B,6DoF,0.17016263621191793,bimanual
124,126,2,C,4DoF,0.1516836410141189,unimanual
125,126,2,C,6DoF,0.1549794294611127,bimanual
126,126,2,D,4DoF,0.15356907323623786,unimanual
127,126,2,D,6DoF,0.1477613585861284,bimanual
128,127,3,A,4DoF,0.2923487029019595,bimanual
129,127,3,A,6DoF,0.14097782217460306,unimanual
130,127,3,B,4DoF,0.20294076783420054,bimanual
131,127,3,B,6DoF,0.2984697684563373,unimanual
132,127,3,C,4DoF,0.20699690953614064,bimanual
133,127,3,C,6DoF,0.2097143499903722,unimanual
134,127,3,D,4DoF,0.15864669833556952,bimanual
135,127,3,D,6DoF,0.23472525409008757,unimanual
136,128,0,A,4DoF,0.09808575834023203,unimanual
137,128,0,A,6DoF,0.14230343004630197,bimanual
138,128,0,B,4DoF,,
139,128,0,B,6DoF,0.07128173106258251,bimanual
140,128,0,C,4DoF,0.19040889251841148,unimanual
141,128,0,C,6DoF,0.10866002270994475,bimanual
142,128,0,D,4DoF,0.14357836776522065,unimanual
143,128,0,D,6DoF,0.044232651953903676,bimanual
144,131,3,A,4DoF,0.22543012873670568,bimanual
145,131,3,A,6DoF,0.10578596326053497,unimanual
146,131,3,B,4DoF,0.16615456976191328,bimanual
147,131,3,B,6DoF,0.13507781833114058,unimanual
148,131,3,C,4DoF,0.2408804179275251,bimanual
149,131,3,C,6DoF,0.08750590664869878,unimanual
150,131,3,D,4DoF,0.2125908087544895,bimanual
151,131,3,D,6DoF,0.19043115199738475,unimanual
152,132,0,A,4DoF,0.18182958179196188,unimanual
153,132,0,A,6DoF,0.2803778630893327,bimanual
154,132,0,B,4DoF,0.1842412331879875,unimanual
155,132,0,B,6DoF,0.17328101296929618,bimanual
156,132,0,C,4DoF,0.23147241382994257,unimanual
157,132,0,C,6DoF,0.15274463007159905,bimanual
158,132,0,D,4DoF,0.19128261368563337,unimanual
159,132,0,D,6DoF,0.19633936167891972,bimanual
160,133,1,A,4DoF,0.14990293784774358,bimanual
161,133,1,A,6DoF,0.12466474089324069,unimanual
162,133,1,B,4DoF,0.10114112473987767,bimanual
163,133,1,B,6DoF,0.18889286350955858,unimanual
164,133,1,C,4DoF,0.15781013637050212,bimanual
165,133,1,C,6DoF,0.1474024011851153,unimanual
166,133,1,D,4DoF,0.23577454295104847,bimanual
167,133,1,D,6DoF,0.11499861180247181,unimanual
168,134,2,A,4DoF,0.21864733824196608,unimanual
169,134,2,A,6DoF,0.1843524291724551,bimanual
170,134,2,B,4DoF,0.17210648658591288,unimanual
171,134,2,B,6DoF,0.21093745880127757,bimanual
172,134,2,C,4DoF,0.11940049013901201,unimanual
173,134,2,C,6DoF,0.16538923174339154,bimanual
174,134,2,D,4DoF,0.29127684116091296,unimanual
175,134,2,D,6DoF,0.2789341924506461,bimanual
176,135,3,A,4DoF,0.1727018777011653,bimanual
177,135,3,A,6DoF,0.17351772483559194,unimanual
178,135,3,B,4DoF,0.1363249851320563,bimanual
179,135,3,B,6DoF,0.13379376226721557,unimanual
180,135,3,C,4DoF,0.15053860562541266,bimanual
181,135,3,C,6DoF,0.18531139520949455,unimanual
182,135,3,D,4DoF,0.21499155669522796,bimanual
183,135,3,D,6DoF,0.13118625168082385,unimanual
184,136,0,A,4DoF,0.17160082597197568,unimanual
185,136,0,A,6DoF,0.15549842428263394,bimanual
186,136,0,B,4DoF,0.13707913492784926,unimanual
187,136,0,B,6DoF,0.11574395585062548,bimanual
188,136,0,C,4DoF,0.08489667014035542,unimanual
189,136,0,C,6DoF,0.17324154418850413,bimanual
190,136,0,D,4DoF,0.09427358666217296,unimanual
191,136,0,D,6DoF,0.13079674839283495,bimanual
192,137,1,A,4DoF,0.1571056647813987,bimanual
193,137,1,A,6DoF,0.10327766421333033,unimanual
194,137,1,B,4DoF,0.1521575946927431,bimanual
195,137,1,B,6DoF,0.0733318829916475,unimanual
196,137,1,C,4DoF,0.19570759861439022,bimanual
197,137,1,C,6DoF,0.11792393232513987,unimanual
198,137,1,D,4DoF,0.1439412719610399,bimanual
199,137,1,D,6DoF,0.11517592546735511,unimanual
200,139,3,A,4DoF,0.13737935149095848,bimanual
201,139,3,A,6DoF,0.26300374182596326,unimanual
202,139,3,B,4DoF,0.17933593533472236,bimanual
203,139,3,B,6DoF,0.18360785768187735,unimanual
204,139,3,C,4DoF,0.27285714564139946,bimanual
205,139,3,C,6DoF,0.1722044755943207,unimanual
206,139,3,D,4DoF,0.2722452748429485,bimanual
207,139,3,D,6DoF,0.08534917414005372,unimanual
208,140,0,A,4DoF,0.14951730828973797,unimanual
209,140,0,A,6DoF,0.12758254989673787,bimanual
210,140,0,B,4DoF,0.24792810986370717,unimanual
211,140,0,B,6DoF,0.1301405517959396,bimanual
212,140,0,C,4DoF,0.18560882013113264,unimanual
213,140,0,C,6DoF,0.16245418053680769,bimanual
214,140,0,D,4DoF,0.1577851177076978,unimanual
215,140,0,D,6DoF,0.22636765241072843,bimanual
216,141,1,A,4DoF,0.23177522438738912,bimanual
217,141,1,A,6DoF,0.10340914085100553,unimanual
218,141,1,B,4DoF,0.18871688692623328,bimanual
219,141,1,B,6DoF,0.21693573929530593,unimanual
220,141,1,C,4DoF,0.21314942485180194,bimanual
221,141,1,C,6DoF,0.19260326794972416,unimanual
222,141,1,D,4DoF,0.1948132909419612,bimanual
223,141,1,D,6DoF,0.22313052121261298,unimanual
224,142,2,A,4DoF,0.2665408175904397,unimanual
225,142,2,A,6DoF,0.15467904098994587,bimanual
226,142,2,B,4DoF,0.17652706091948872,unimanual
227,142,2,B,6DoF,0.15654278392556079,bimanual
228,142,2,C,4DoF,0.2427057584741649,unimanual
229,142,2,C,6DoF,0.2025995776924358,bimanual
230,142,2,D,4DoF,0.2985800386447879,unimanual
231,142,2,D,6DoF,0.06924744188408441,bimanual
232,143,3,A,4DoF,0.1726436539070218,bimanual
233,143,3,A,6DoF,0.17944075494314418,unimanual
234,143,3,B,4DoF,0.1591687570830097,bimanual
235,143,3,B,6DoF,0.13852800145652297,unimanual
